序号,分类,部件名称,规格型号,数量,单位,备注,参考来源
1,驱动系统,永磁同步伺服电机,80TM-04830C10-RHD (1.5kW/DC48V/双出轴),2,台,左右各一,spec §6.1
2,驱动系统,行星减速机,单级行星 30:1 额定≥300N·m,2,台,法兰安装于摆臂末端,spec §6.1
3,传动系统,滚子链,08B-1 单排,2,条,主动15齿→从动30齿,spec §6.1
4,传动系统,主动链轮,08B-1 15齿,2,个,平键固定在电机轴,spec §3.2
5,传动系统,从动链轮,08B-1 30齿,2,个,平键连接减速机输入法兰,spec §3.2
6,传动系统,梅花联轴器,内孔10mm/12mm,2,个,电机后轴→齿轮泵,spec §6.2
7,液压系统,齿轮泵,CBN-E300 (3ml/r 16MPa),2,台,左右各一,spec §6.2
8,液压系统,卸荷电磁阀,DSG-02-2B2 (两位两通常闭 DC24V),2,个,行走/液压互斥,spec §6.2
9,液压系统,液压油箱,4L 铝合金散热翅片,1,个,车底最低位安装,spec §6.2
10,液压系统,溢流阀,直动式 调压范围5~20MPa,2,个,安全保护,spec §6.2
11,液压系统,快插接头,标准液压快插 (按管路口径),4,个,终端接口预留,spec §REQ-HYD-06
12,液压系统,液压油,46# 抗磨液压油,1,桶,工作介质,spec §6.3
13,悬架系统,中轮浮动摆臂,10mm铝板线切割 长380mm,2,个,左右各一,spec §3.2
14,悬架系统,前L型直角摇臂,8mm铝板线切割,4,个,左右前后各一,spec §3.3
15,悬架系统,后L型直角摇臂,8mm铝板线切割,4,个,左右前后各一,spec §3.3
16,悬架系统,弹性联动拉杆,套筒+弹簧+调节螺母 自组装,2,套,左右各一,spec §3.3
17,悬架系统,中轮缓冲弹簧,k=6N/mm 自由长度待计,4,个,摆臂预压25mm,spec §3.2
18,悬架系统,拉杆内置弹簧,k=200N/mm φd=5mm D=25mm L0=60mm,2,个,弹性联动核心件,spec §5.2
19,悬架系统,横向差速平衡梁,8mm铝板线切割,1,根,车顶横向安装,spec §3.4
20,悬架系统,球头螺栓,可调长度 M12,4,个,平衡梁→侧悬架连接,spec §3.4
21,悬架系统,复位扭簧,按摇臂尺寸定制,4,个,保证车轮贴地,spec §3.3
22,车轮,中驱动轮,φ300mm 橡胶防滑轮 带平键槽,2,个,左右各一,spec §3.5
23,车轮,前后从动轮,φ200mm 橡胶轮,4,个,左前/后+右前/后,spec §3.5
24,车轮,圆锥滚子轴承,30204 (成对背对背),8,套,每从动轮2套×4轮,spec §3.5
25,车轮,推力球轴承,51204,1,个,平衡梁中心铰接,spec §5.3
26,车架结构,铝合金方管,6061 40×40×3mm,若干,m,主梁材料激光切割,spec §3.1
27,车架结构,L型角码,6061铝板定制,若干,个,方管拼接连接件,spec §3.1
28,车架结构,定位衬套,钢制 (适配M8螺栓孔),若干,个,传递剪切力,spec §3.1
29,车架结构,X型钢丝绳,不锈钢 φ3mm,2,根,车顶抗扭加强,spec §3.1
30,车架结构,花篮螺丝,φ3mm匹配,2,个,钢丝绳预紧调节,spec §3.1
31,车架结构,吊耳,钢板切割,4,个,钢丝绳安装点,spec §3.1
32,标准件,M8内六角螺栓(12.9级),若干,套,主梁拼接 含平垫+弹垫,spec §3.1
33,标准件,M6内六角螺栓(12.9级),若干,套,减速机法兰安装,spec §3.2
34,标准件,M10螺栓,若干,个,铰接销轴限位,spec §3.2
35,标准件,M12螺栓,若干,个,平衡梁/调节螺杆连接,spec §3.3
36,标准件,空心铰接销轴,45#钢车削定制,2,根,摆臂回转中心,spec §3.2
37,标准件,开口挡圈,按销轴直径配套,若干,个,铰接端部锁紧,spec §2.2.1
38,标准件,平键,按轴径配套,6,根,链轮/减速机/轮毂连接,spec §3.2
39,标准件,橡胶限位块,定制,4,个,平衡梁±15°限位,spec §3.4
40,电气,螺纹胶,乐泰243,2,支,防松措施,spec §REQ-STRUCT-05
41,电气,伺服驱动器,匹配80TM电机 (待选型),2,台,闭环控制,spec §1.2
42,电气,电池组,DC48V 容量待计,1,组,供电系统,spec §1.2
43,电气,模式切换旋钮开关,带互锁逻辑,1,个,行走/液压模式切换,spec §5.4
45,电气,电磁阀控制盒,DC24V 2路输出,1,套,卸荷阀供电,spec §7-步骤6
46,车架结构,电机固定支座,6mm钢板切割定制,2,个,左右各一,spec §3.2
47,车架结构,U型抱箍,适配40x40方管,8,个,横梁纵梁交叉加固,spec §3.1
48,悬架系统,摇臂铰接销轴,45#钢 φ10x30mm车削,8,根,前后摇臂各一×4摇臂×2侧,spec §3.3
49,车轮,从动轮轮毂,铝合金车削 φ200适配,4,个,含轴承安装位,spec §3.3
50,车轮,从动轮轴,45#钢 φ12x80mm,4,根,穿轴承+锁紧,spec §3.3
51,标准件,锁紧尼龙螺母,M10/M12,4,个,链轮/轮毂轴向固定,spec §3.2
52,标准件,平垫片,M10/M12,20,个,螺栓配套,spec §3.2/§3.3
53,标准件,弹性垫圈,M10/M12,20,个,防松,spec §3.2/§3.3
54,液压系统,高压液压软管,耐16MPa φ6/10mm,6,m,出油/回油管,spec §7-步骤5
55,液压系统,低压吸油软管,φ10/14mm,3,m,油箱→泵,spec §7-步骤5
56,液压系统,管夹/卡箍,适配软管外径,12,个,管路固定,spec §7-步骤5
57,电气,电磁制动器,盘式 DC24V 匹配轴径,2,个,行走抱闸安全互锁,spec §2.4/§5.4
58,电气,平面密封胶,厌氧型(油箱/管路密封),1,支,液压系统密封,spec §5
